City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,keti bandar,24.1447,67.4497,24.1,18,1,6.6,PK,1672971270
424,yoichi,43.2039,140.7703,-2.05,70,85,3.91,JP,1672956529
425,bonavista,48.6499,-53.1147,-5.18,70,78,3.92,CA,1673004255
426,abnub,27.2696,31.1511,17.12,33,0,4.38,EG,1672980366
427,gizo,-8.103,156.8419,28.3,78,34,4.53,SB,1672946441
428,havre-saint-pierre,50.2334,-63.5986,-12.0,66,100,2.57,CA,1673007178
429,povenets,62.8487,34.8262,-15.48,98,81,2.06,RU,1672988960
430,port macquarie,-31.4333,152.9167,19.44,85,6,3.85,AU,1672944620
431,taltal,-25.4,-70.4833,18.57,81,10,1.24,CL,1672999081
432,cardston,49.2,-113.3019,6.05,52,100,6.69,CA,1673018835
433,yefremov,53.1481,38.0992,-15.45,76,47,6.7,RU,1672983625
434,zhuhai,22.2769,113.5678,22.88,56,0,6.17,CN,1672959980
435,marovoay,-16.1,46.6333,34.01,46,54,1.32,MG,1672972054
436,borgosesia,45.7145,8.2799,7.98,59,14,0.75,IT,1672988843
437,sirajganj,24.45,89.7167,20.75,54,0,2.75,BD,1672965961
438,rucheng,32.3883,120.5553,11.65,40,0,4.05,CN,1672959590
439,mangrol,21.1167,70.1167,24.81,50,11,3.44,IN,1672970276
440,along,28.1667,94.7667,20.71,41,0,0.31,IN,1672965211
441,bani walid,31.7566,13.9942,15.42,39,0,3.02,LY,1672985078
442,yulara,-25.2406,130.9889,25.6,26,100,5.57,AU,1672950725
443,beihai,21.4833,109.1,21.76,50,54,5.78,CN,1672960960
444,tura,25.5198,90.2201,23.05,36,0,1.69,IN,1672965970
445,kaitangata,-46.2817,169.8464,11.5,95,100,3.98,NZ,1672937815
446,umm lajj,25.0213,37.2685,23.26,34,0,5.11,SA,1672978620
447,nanortalik,60.1432,-45.2371,-6.35,69,99,3.53,GL,1673006472
448,blagodatnoye,45.3997,42.5867,6.51,69,100,7.87,RU,1672980542
449,englewood,39.6478,-104.9878,1.46,68,70,2.34,US,1673014852
450,mosquera,4.7059,-74.2302,11.05,93,75,1.03,CO,1673003201
451,verkhoyansk,67.5447,133.385,-46.19,100,84,1.1,RU,1672971047
452,sakakah,29.9697,40.2064,13.76,52,0,1.06,SA,1672978543
453,colares,38.7992,-9.4469,14.07,88,40,3.13,PT,1672991778
454,gigmoto,13.7796,124.39,25.08,88,31,5.56,PH,1672956446
455,lakes entrance,-37.8811,147.981,16.76,73,98,5.16,AU,1672944782
456,matagami,49.7502,-77.6328,-11.94,79,100,1.54,CA,1673010418
457,gbarnga,6.9956,-9.4722,27.72,46,23,0.75,LR,1672987884
458,wakkanai,45.4094,141.6739,-3.01,74,75,5.66,JP,1672956766
459,muravlenko,63.7898,74.523,-25.19,97,100,6.58,RU,1672980178
460,general roca,-39.0333,-67.5833,24.23,29,100,2.88,AR,1672996345
461,caucaia,-3.7361,-38.6531,29.61,83,20,2.57,BR,1672993819
462,cassia,-20.5831,-46.9219,19.33,98,100,0.59,BR,1672994009
463,nador,35.174,-2.9287,14.14,77,20,0.51,MA,1672989635
464,huambo,-12.7761,15.7392,17.83,88,100,1.7,AO,1672979831
465,kununurra,-15.7667,128.7333,31.99,55,40,8.23,AU,1672952379
466,la ronge,55.1001,-105.2842,-13.86,85,100,3.09,CA,1673018681
467,dongdu,35.85,117.7,6.38,25,0,4.16,CN,1672960787
468,novaya mayna,54.15,49.75,-17.98,92,100,5.31,RU,1672981156
469,biograd na moru,43.9433,15.4519,12.09,68,20,1.15,HR,1672986751
470,lavrentiya,65.5833,-171.0,-14.89,94,100,2.27,RU,1673040784
471,ilulissat,69.2167,-51.1,-23.79,74,13,2.23,GL,0
472,arroio do meio,-29.4011,-51.945,17.4,83,0,0.78,BR,1672994101
473,caracollo,-14.9165,-70.6603,5.59,72,100,1.0,PE,1673000345
